score,formatCreateTime,createTime,positionId,deliverCount,positionName,positionType,workYear,education,jobNature,companyName,companyId,orderBy,showOrder,adWord,randomScore,countAdjusted,relScore,hrScore,flowScore,showCount,totalCount,searchScore,pvScore,createTimeSort,haveDeliver,calcScore,city,imstate,plus,positonTypesMap,companyLogo,industryField,positionAdvantage,salary,positionFirstType,leaderName,companySize,financeStage,companyShortName,description,companyLabelList
1256,"14:12发布",Wed Dec 23 14:12:47 CST 2015,957966,1,"数据挖掘/算法","后端开发","不限","硕士","全职","闪银奇异",29496,83,0,0,false,false,965,98,110,318,0,0,11.717082789040113,1450851167000,false,false,"北京","disabled","否",null,"image1/M00/00/41/Cgo8PFTUXMuAeMAuAABAtFBcbOM313.png","移动互联网 · 金融","六险一金 补充医疗 团建 年度体检 自助午餐","18k-32k","技术","支正春","150-500人","成长型(B轮)","北京闪银奇异科技有限公司"," 
 职位描述 
 岗位职责：&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1、利用海量数据构建信用评估模型&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2、对海量数据进行feature selection, combination等feature engineering工作&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3、搭建大规模机器学习算法平台&nbsp;&nbsp;&nbsp;任职要求：&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1、计算机、统计等相关专业&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2、对常用的机器学习算法、特征选择方法、数据建模过程有深入理解&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3、扎实的编程和数学基础&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4、熟练掌握matlab、R、Python等任一一种语言&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 5、勤奋踏实，善于分析思考问题，具有优秀的沟通能力、团队合作精神和抗压能力&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6、每周保证至少三天实习时间 （实习生）&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;优先录用条件：&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1、在相关A类会议（ICML, NIPS, SIGIR, SIGKDD等）第一作者发表论文&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2、参与过知名开源项目&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3、熟悉Apache spark&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 4、对创业有激情 
 &nbsp; 
","13~15薪, 晋升空间大, 定期体检, 能力定薪"
1256,"09:03发布",Wed Dec 23 09:03:49 CST 2015,1314320,0,"数据挖掘","后端开发","5-10年","本科","全职","安润普",108927,74,0,0,false,false,1000,46,137,39,0,0,6.136673054235668,1450832629000,false,false,"珠海","disabled","否",null,"i/image/M00/01/16/CgqKkVZfrSqAfl94AAAI6S1OUz0959.png","移动互联网","五险一金、年终奖、学霸聚集地、轻松环境","10k-20k","技术","王广峰","50-150人","成长型(A轮)","珠海安润普科技有限公司"," 
 职位描述 
 岗位职责： &nbsp; &nbsp;1、深入挖掘用户以及运动行为、属性，建立用户画像标签体系，建立相关的预测模型、定价模型等，为商业应用提供数据驱动的服务与产品，并推进相关 &nbsp; &nbsp;数据产品建设； &nbsp; &nbsp;2、对用户运动数据进行深入分析，为分析报告提供数据支持，并推动建立相关数据产品，为客户提供数据产品服务； &nbsp; &nbsp;3、深入理解智能穿戴业务，协助搭建用户行为、属性等方面的数据库，为公司业务发展提供数据支持。 &nbsp; &nbsp; &nbsp; &nbsp;任职要求： &nbsp; &nbsp;1、5年以上数据分析和数据挖掘相关工作经验，有成功的数据挖掘项目经验；  &nbsp; &nbsp;2、数学、统计、计算机等相关专业硕士及以上学历，深刻理解并熟练掌握统计学、数据挖掘的算法和技术；  &nbsp; &nbsp;3、精通至少一种数据分析/挖掘软件，如R/Python/SAS/Mahout等；  &nbsp; &nbsp;4、熟悉Hive、Mysql、Hadoop、HBase、Spark；  &nbsp; &nbsp;5、对数据驱动业务有一定理解，对数据与业务方面有足够的敏感性，有较强的逻辑分析能力，有较强的独立思考能力；  &nbsp; &nbsp;6、具备良好的沟通能力和团队合作精神，能独立完成挖掘项目的规划和实施；  &nbsp; &nbsp;7、有互联网/移动互联网经验的优先考虑。 
","交通补助, 午餐补助, 绩效奖金, 弹性工作"
1199,"2015-12-14",Mon Dec 14 11:57:10 CST 2015,881672,0,"数据挖掘工程师（总部）","后端开发","3-5年","本科","全职","美菜网",43016,34,0,0,false,false,858,104,147,176,0,0,4.0397619179838316,1450065430000,false,false,"北京","disabled","是",null,"image2/M00/04/92/CgpzWlXySBqAQsm0AACqIAvx5NQ164.png","电子商务 · O2O","做有价值的事 美菜网诚邀你的加入~","15k-25k","技术","刘传军","2000人以上","成熟型(C轮)","北京云杉世界信息技术有限公司"," 
 职位描述 
 工作职责： 1、根据业务需求，构建合适的数据模型和相应的策略算法; 2、包括但不限于商家画像建模、文本分析、竞品分析和商业预测等; 3、对海量电子商务全产业链数据进行分析，并利用算法挖掘数据内在的模式和特征，发现潜在规律，建立数据挖掘算法并优化。  职位要求： 1、计算机或相关专业本科及以上学历,&nbsp;熟练掌握数据结构和常用算法; 2、熟悉python/java语言，熟练使用SQL; 3、2年以上数据挖掘相关经验，具备扎实的机器学习理论和数学功底; 4、有海量数据处理和并行计算开发经验者优先，如Hadoop、Storm、Spark; 5、有文本分析、自然语言处理、推荐系统、用户画像建模等方面经验者优先; 6、具有优秀的逻辑分析能力、解决问题能力和团队合作意识。 
","技能培训, 节日礼物, 绩效奖金, 岗位晋升"
1196,"09:31发布",Wed Dec 23 09:31:06 CST 2015,422144,2,"数据挖掘工程师","高端技术职位","1-3年","本科","全职","晶赞科技Zamplus",22321,83,1433119769874,0,false,false,875,50,132,94,0,0,7.000203282191567,1450834266000,false,false,"上海","threeDays","是",null,"image1/M00/00/2A/Cgo8PFTUXGyAdrA7AABdrbYOJrE558.png","数据服务 · 文化娱乐","国外outing、技术大牛多、团队氛围好","16k以上","技术","汤奇峰","150-500人","成熟型(C轮)","上海晶赞科技发展有限公司"," 
 职位描述 
 职位描述： 
 1. 研究基于sponsored search， content match和behavior targeting的广告匹配技术和数据挖掘任务，提升广告相关性。2. 根据用户的行为结合机器学习的模型推送适合展现给用户的相关广告。3. 研究合适的竞价模型并实现，帮助用户合理的进行在线广告的投资。4. 通过优化广告在广告位的展现，实现在线广告的利益最大化。 
 任职要求： 
 1. 扎实的编码能力与算法基础。熟悉Linux平台下的C/C++语言开发，掌握stl的使用。2. 深刻理解并熟练掌握机器学习、统计学、数据挖掘的算法和技术。3. 至少掌握 Perl / Python / Linux Shell 中的一种。4. 有相关的 自然语言处理 / 数据挖掘 / 机器学习 / 广告竞价理论 / 优化理论的研究和项目经验者优先。5. 有较强的学习能力，并且能够快速实现数学模型。6. 创新精神，对互联网领域有热情。7. 计算机，应用数学，统计，电子工程及相关专业，硕士及以上学历。 
","项目奖金, 带薪休假, 美女多, 硅谷工作机会"
1333,"10:19发布",Wed Dec 23 10:19:56 CST 2015,1366035,0,"数据挖掘","后端开发","5-10年","本科","全职","京东商城",4836,81,0,0,false,false,1000,99,154,66,0,0,2.3748175985814393,1450837196000,false,false,"北京","disabled","否",null,"image2/M00/07/C8/CgpzWlYAsfGATpk7AAAJkGWG2kk774.png?cc=0.19381895544938743","电子商务","专注京东物流大数据应用","25k-35k","技术","刘强东","2000人以上","上市公司","北京京东尚科信息技术有限公司"," 
 职位描述 
 岗位职责 
 1、建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省运营成本； 
 2、不断完善和优化算法，并且跟进落地使用，以技术驱动公司业务成长，体现技术价值； 
 3、包括但不限于商家画像建模、销量预测、库房选址建模、仓内布局优化、智能补货模型等； 
  
 任职要求 
 1、对统计学和数据挖掘算法原理有较为深刻的理解，了解数据仓库思想，熟悉spss、sas、R等数据挖掘软件之一； 
 2、了解决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等常用数据挖掘算法，有海量数据挖掘的项目经验； 
 3、2年以上互联网行业数据挖掘及算法设计工作经验优先，有销量预测、商家画像建模、供应链业务建模经验优先； 
 4、熟练使用sql，有hadoop工作经验者优先，具有Python脚本经验者优先； 
 5、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，良好的沟通能力。 
  
","技能培训, 年底双薪, 节日礼物, 绩效奖金"
1194,"2015-12-04",Fri Dec 04 09:13:48 CST 2015,1283348,0,"数据挖掘","dba","不限","硕士","全职","普林科技",54374,25,0,0,false,false,1000,84,85,101,0,0,16.986674385241592,1449191628000,false,false,"北京","disabled","否",null,"image1/M00/40/8C/CgYXBlXEI6CAXmERAAAMitA_gBo281.jpg","数据服务","初创待遇，国企作息，团队牛逼，还有期权。","16k-32k","技术","鄂维南","50-150人","成长型(A轮)","北京至信普林科技有限公司"," 
 职位描述 
 岗位职责： 
  
  参与数据分析与建模类咨询项目的推进; 
  参与数据产品和系统（征信系统、风控系统、客户画像系统等）的开发； 
  参与机器学习、数据发掘、统计分析类问题的调研、实现与研究 
  根据实际问题场景，制定技术解决方案，设计模型的接口，并指导数据分析师进行具体实现 
  
 &nbsp; 
 岗位要求： 
  
  硕士及以上学历（接受应届毕业生）。计算机专业机器学习，数据挖掘，自然语言处理方向优先；数学专业统计学，应用数学方向优先； 
  扎实的理论和算法基础，对逻辑回归、矩阵分解、SVM、GBRT、RF、K-MEANS、DBSCAN等机器学习算法有深刻的理解，能够根据实际问题提出相应的解决方案； 
  至少掌握一门编程语言快速编码能力（Java, Python, Scala等），能够快速高效地实现常用机器学习模型和算法； 
  具备良好的沟通能力和团队协作能力 
  
 &nbsp; 
 加分项： 
  
  具有自然语言处理或者推荐系统实际研发经验 
  参与过机器学习相关的开源项目的开发 
  具有实现分布式机器学习算法（Hadoop, Spark Mlib, Mahout）的经验 
  
  
","技能培训, 带薪年假, 绩效奖金, 岗位晋升"
1325,"10:24发布",Wed Dec 23 10:24:05 CST 2015,754434,0,"数据挖掘","后端开发","1-3年","本科","全职","哎吖科技",70686,79,0,0,false,false,1000,118,95,499,0,0,14.78969377630085,1450837445000,false,false,"深圳","threeDays","否",null,"image1/M00/43/AA/CgYXBlXSlGOAA3gsAACe1vXwYd4045.jpg","移动互联网 · 社交网络","股票期权、互联网工作环境、成长空间大","8k-15k","技术","David","少于15人","初创型(天使轮)","深圳市哎吖科技有限公司"," 
 职位描述 
 数据挖掘工程师（中级） 
 岗位职责  &nbsp;&nbsp;&nbsp; 负责智能聊天系统的设计和开发&nbsp; 
  岗位要求  &nbsp;&nbsp;&nbsp;&nbsp; 1.熟悉分词，语义分析，信息抽取等自然语言处理基础算法和应用  &nbsp;&nbsp;&nbsp;&nbsp; 2.熟悉分类，聚类，情感分析，关联规则挖掘，协同过滤等常用机器学习和数据挖掘算法  &nbsp;&nbsp;&nbsp;&nbsp; 3.对搜索引擎有一定了解  &nbsp;&nbsp;&nbsp;&nbsp; 4.熟悉hadoop,spark，hive，mapreduce等相关计算平台优先  &nbsp;&nbsp;&nbsp;&nbsp; 5.熟悉c++,java,pthon等语言开发，有扎实数据结构和算法基础  &nbsp;&nbsp;&nbsp;&nbsp; 6.有较强的系统设计和编程能力  &nbsp;&nbsp;&nbsp;&nbsp; 7.计算机科学、数学、统计等相关专业优先 
","年底双薪, 节日礼物, 绩效奖金, 年度旅游"
1291,"1天前发布",Tue Dec 22 17:53:30 CST 2015,1327135,2,"数据挖掘","后端开发","1-3年","本科","全职","微播易",13639,83,0,0,false,false,1000,114,94,338,0,0,15.02675036048198,1450778010000,false,false,"北京","disabled","否",null,"image1/M00/00/1A/Cgo8PFTUWFeAEFIcAABFM_7myOo553.jpg","广告营销","六险一金、竞争性薪酬、激情团队","15k-25k","技术","韩毅","150-500人","成熟型(C轮)","北京讯达网脉科技有限公司"," 
 职位描述 
 岗位职责： 
 1、 社交平台用户行为分析； 
 2、 特征值提取与分析； 
 3、建立数学模型对用户行为进行预测。 
 任职资格： 
 1、 计算机、数学、统计或其他相关领域本科或本科以上学历； 
 2、有机器学习或数据挖掘相关工作经验； 
 3、 熟悉常用的数据结构和算法； 
 4、有扎实的编程基础，至少能够熟练使用一种编程语言； 
 5、熟悉python或java的优先； 
 6、有一定的分布式数据处理经验；熟悉hadoop的优先； 
 7、逻辑分析能力强。 
 8、有数据Web可视化经验者优先 
 &nbsp; 
 &nbsp; 
","年终分红, 五险一金, 带薪年假, 节日礼物"
1276,"11:25发布",Wed Dec 23 11:25:09 CST 2015,1234969,0,"数据挖掘","后端开发","1-3年","大专","全职","欣网视讯",103263,70,0,0,false,false,1000,75,131,51,0,0,7.257998675096197,1450841109000,false,false,"南京","disabled","否",null,"image2/M00/10/F0/CgpzWlYwQ1yAHBhCAAAXXOgQVmI681.jpg?cc=0.3970301547087729","移动互联网 · 企业服务","双休 带薪年休 定期体检 聚餐旅游","4k-8k","技术","暂没有填写","50-150人","初创型(未融资)","江苏欣网视讯科技有限公司"," 
 职位描述 
 岗位职责：1.分析客户及合作伙伴需求，理解客户及合作伙伴业务；2.根据客户需求和分析模型，创建业务数据分析模型；3.与团队共同创建和改进数据分析模型；4.负责对业务数据进行深度分析和挖掘，为优化改进提供数据支持；5.熟练使用统计分析工具做数据的清洗、统计、分析和挖掘等处理；6.根据数据分析模型，最终生成数据分析报告。任职要求：1.计算机相关专业或统计学、计算机等相关专业，本科以上学历；2.二年以上数据分析，挖掘和建模经验，数据分析相关方向；3.具有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型；4.能够熟练地使用SQL，精通ORACLE、MYSQL数据库优先；5.有大数据分析经验者优先；6.从事过电信项目相关行业的优先，有强烈事业心的优先。7.大规模数据处理与分析经验优先 
","带薪年假, 扁平管理, 领导好, 定期体检"
1262,"2015-12-11",Fri Dec 11 14:02:03 CST 2015,1259294,0,"数据挖掘","dba","3-5年","本科","全职","华安保险",22788,28,0,0,false,false,1000,90,88,287,0,0,16.195567530880087,1449813723000,false,false,"深圳","disabled","是",null,"image1/M00/00/2C/Cgo8PFTUXHKAKTAkAACqWeTt8yo763.jpg","金融","五险一金、津贴补助、定期体检、子女福利","14k-22k","技术","暂没有填写","2000人以上","成熟型(不需要融资)","华安财产保险股份有限公司"," 
 职位描述 工作职责： 
 1、对海量业务数据进行分析，并利用算法挖掘用户行为特征，发现潜在规律，建立机器学习算法并优化； 
 2、利用数据挖掘技术分析、预测用户的消费行为； 
 3、建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省成本。 
  
 任职资格： 
 1、本科及以上学历； 
 2、统计学、会计学、数学、物理等相关专业； 
 3、5年及以上同岗位工作经验，研究生3年及以上同岗位工作经验； 
 4、对统计学和数据挖掘算法原理有较为深刻的理解，了解数据仓库思想，熟悉SPSS、SAS、R、MAHOUT等数据挖掘软件之一； 
 5、熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法，有海量数据挖掘的项目经验，有大数据平台经验； 
 6、有用户行为分析、用户建模、业务建模、数学建模经验优先； 
 7、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，良好的沟通能力。 
  
","技能培训, 年底双薪, 节日礼物, 落户办理"
