"dis_id","dis_name","url","create_time","status","cat_id","cat_name","dis_type"
"aitong","癌痛","http://www.haodf.com/jibing/aitong.htm","2015/11/8 18:47:42","0","zhongliuzongheke","肿瘤综合科","0"
"aizibing","艾滋病","http://www.haodf.com/jibing/aizibing.htm","2015/11/8 18:38:58","0","xingbingke","性病科","1"
"anjijiasuanzhileishachongyaozhongdu","氨基甲酸酯类杀虫药中毒","http://www.haodf.com/jibing/anjijiasuanzhileishachongyaozhongdu.htm","2015/11/8 18:47:37","0","zhiyebingke","职业病科","1"
"bahen","疤痕","http://www.haodf.com/jibing/bahen.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","0"
"baidaiyichang","白带异常","http://www.haodf.com/jibing/baidaiyichang.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","0"
"baihou","白喉","http://www.haodf.com/jibing/baihou.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"baineizhang","白内障","http://www.haodf.com/jibing/baineizhang.htm","2015/11/8 18:54:51","0","zhongyiyankezu","中医眼科","0"
"bairike","百日咳","http://www.haodf.com/jibing/bairike.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"baixuebing","白血病","http://www.haodf.com/jibing/baixuebing.htm","2015/11/8 18:47:42","0","zhongliuzongheke","肿瘤综合科","1"
"banhengeda","瘢痕疙瘩","http://www.haodf.com/jibing/banhengeda.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","0"
"baojing","包茎","http://www.haodf.com/jibing/baojing.htm","2015/11/8 18:16:33","0","nanke","男科","0"
"baopiguitouyan","包皮龟头炎","http://www.haodf.com/jibing/baopiguitouyan.htm","2015/11/8 18:16:33","0","nanke","男科","0"
"baopiguochang","包皮过长","http://www.haodf.com/jibing/baopiguochang.htm","2015/11/8 18:33:47","0","xiaoerwaike","小儿外科","1"
"baya","拔牙","http://www.haodf.com/jibing/baya.htm","2015/11/8 18:12:11","0","kouqiangke-tezhen","口腔特诊科","2"
"bianmi","便秘","http://www.haodf.com/jibing/bianmi.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"biantaotiexingzhongliu","扁桃体恶性肿瘤","http://www.haodf.com/jibing/biantaotiexingzhongliu.htm","2015/11/8 18:05:04","0","fangliaoke","放疗科","1"
"biantaotiyan","扁桃体炎","http://www.haodf.com/jibing/biantaotiyan.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"biantaotizhounongzhong","扁桃体周脓肿","http://www.haodf.com/jibing/biantaotizhounongzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bianxingshoushu","变性手术","http://www.haodf.com/jibing/bianxingshoushu.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"bianyingxingrouyazhongxueguanyan","变应性肉芽肿血管炎","http://www.haodf.com/jibing/bianyingxingrouyazhongxueguanyan.htm","2015/11/8 18:04:54","0","biantaifanyingke","过敏反应科","1"
"bianyingxingxueguanyan","变应性血管炎","http://www.haodf.com/jibing/bianyingxingxueguanyan.htm","2015/11/8 18:04:54","0","biantaifanyingke","过敏反应科","1"
"bibunaomonaopengchu","鼻部脑膜脑膨出","http://www.haodf.com/jibing/bibunaomonaopengchu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bibuzhengxing","鼻部整形","http://www.haodf.com/jibing/bibuzhengxing.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"bichuxue","鼻出血","http://www.haodf.com/jibing/bichuxue.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"bicongshenjingsunshang","臂丛神经损伤","http://www.haodf.com/jibing/bicongshenjingsunshang.htm","2015/11/8 18:22:37","0","shouwaike","手外科","0"
"bidouexingzhongliu","鼻窦恶性肿瘤","http://www.haodf.com/jibing/bidouexingzhongliu.htm","2015/11/8 18:47:41","0","zhongliuwaike","肿瘤外科","1"
"bidouguzhe","鼻窦骨折","http://www.haodf.com/jibing/bidouguzhe.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"bidounangzhong","鼻窦囊肿","http://www.haodf.com/jibing/bidounangzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bidounianmonangzhong","鼻窦粘膜囊肿","http://www.haodf.com/jibing/bidounianmonangzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bidounianyenangzhong","鼻窦粘液囊肿","http://www.haodf.com/jibing/bidounianyenangzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bidouqiyashang","鼻窦气压伤","http://www.haodf.com/jibing/bidouqiyashang.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bidouyan","鼻窦炎","http://www.haodf.com/jibing/bidouyan.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"biguguzhe","鼻骨骨折","http://www.haodf.com/jibing/biguguzhe.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biguliu","鼻骨瘤","http://www.haodf.com/jibing/biguliu.htm","2015/11/8 18:07:49","0","guzhongliuke","骨肿瘤科","1"
